id,year,rank,school,games,wins,losses,win_percentage,conference_wins,conference_losses,home_wins,home_losses,away_wins,away_losses,offensive_rating,defensive_rating,net_rating,field_goals,field_goal_attempts,field_goal_percentage,3_pointers,3_pointer_attempts,3_pointer_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,opponent_points,simple_rating,point_diff,assist_turnover_ratio,home_win_pct,away_win_pct,home_advantage,conf_win_pct,scoring_efficiency,defensive_pressure
46,1999,3,Syracuse,30,32,25,0.321,15,10,17.0,0.0,7.0,12.0,102.7,96.6,4.0,31.1,53.8,0.511,3.4,25.9,0.405,0.512,12.9,15.2,0.728,11.3,36.4,16.2,9.1,4.2,13.6,15.6,75.8,57.3,5.9,18.5,1.1911764705882353,1.0,0.3684210526315789,0.631578947368421,0.6,1.4089219330855018,13.3
166,1991,14,South Florida,25,31,15,0.861,8,17,14.0,8.0,5.0,11.0,104.8,101.2,16.6,23.6,55.8,0.518,7.6,13.8,0.304,0.462,13.4,22.3,0.709,8.3,32.5,11.9,8.0,3.1,14.4,19.4,59.0,74.5,7.08,-15.5,0.8263888888888888,0.6363636363636364,0.3125,0.32386363636363635,0.32,1.0573476702508962,11.1
366,1987,15,DePaul,25,33,13,0.625,10,4,17.0,7.0,4.0,11.0,96.3,89.4,6.4,25.1,65.8,0.404,5.0,14.5,0.33,0.472,13.1,30.0,0.626,14.6,40.5,13.6,7.5,3.2,17.5,18.9,76.6,69.5,17.03,7.099999999999994,0.7771428571428571,0.7083333333333334,0.26666666666666666,0.4416666666666667,0.7142857142857143,1.1641337386018236,10.7
27,1981,9,Villanova,36,26,2,0.29,12,13,11.0,7.0,9.0,11.0,102.4,108.9,5.1,27.5,61.5,0.511,10.5,12.2,0.361,0.471,10.2,18.4,0.776,10.7,40.3,19.1,7.1,6.3,15.6,19.7,59.0,63.3,13.92,-4.299999999999997,1.2243589743589745,0.6111111111111112,0.45,0.16111111111111115,0.48,0.959349593495935,13.399999999999999
21,2008,7,DePaul,30,33,4,0.657,1,5,5.0,1.0,0.0,9.0,101.1,104.4,0.6,23.9,61.0,0.509,5.0,13.3,0.337,0.543,9.9,29.1,0.674,10.4,35.7,16.5,6.8,6.0,14.9,21.0,79.4,58.8,11.94,20.60000000000001,1.1073825503355705,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666,1.301639344262295,12.8
104,2000,5,Miami (FL),41,36,21,0.583,5,9,5.0,6.0,6.0,3.0,99.5,96.4,10.8,30.7,64.3,0.388,3.8,14.3,0.299,0.449,17.5,26.7,0.651,9.5,35.2,19.7,6.6,1.4,14.6,14.7,72.0,77.2,9.85,-5.200000000000003,1.3493150684931507,0.45454545454545453,0.6666666666666666,-0.2121212121212121,0.35714285714285715,1.119751166407465,8.0
76,2005,1,Miami (FL),27,36,5,0.429,0,17,12.0,4.0,8.0,4.0,101.9,99.8,1.7,21.8,50.2,0.42,9.2,12.9,0.319,0.466,21.3,17.6,0.744,12.3,39.6,14.1,7.1,5.4,12.2,16.1,64.3,71.3,0.0,-7.0,1.1557377049180328,0.75,0.6666666666666666,0.08333333333333337,0.0,1.2808764940239044,12.5
228,2014,6,Seton Hall,26,27,14,0.533,10,14,9.0,4.0,1.0,12.0,98.2,103.7,0.0,24.2,56.5,0.493,5.2,9.5,0.405,0.471,12.0,26.3,0.717,9.9,39.4,18.9,6.9,4.0,16.1,14.3,66.3,64.1,4.45,2.200000000000003,1.1739130434782608,0.6923076923076923,0.07692307692307693,0.6153846153846154,0.4166666666666667,1.1734513274336282,10.9
166,2017,11,Miami (FL),39,5,11,0.632,14,18,19.0,10.0,3.0,5.0,112.9,105.9,9.6,27.9,59.9,0.412,3.2,19.8,0.359,0.461,13.7,18.6,0.65,8.3,29.8,16.7,6.5,8.6,11.0,21.6,66.5,69.0,13.1,-2.5,1.518181818181818,0.6551724137931034,0.375,0.2801724137931034,0.4375,1.1101836393989983,15.1
332,2004,4,Cincinnati,31,23,10,0.222,16,2,19.0,3.0,5.0,2.0,97.7,99.0,2.4,24.5,61.3,0.529,5.4,17.6,0.39,0.511,16.8,20.6,0.694,12.1,39.2,11.7,5.2,3.8,10.9,19.9,73.5,58.7,1.15,14.799999999999997,1.073394495412844,0.8636363636363636,0.7142857142857143,0.14935064935064934,0.8888888888888888,1.1990212071778141,9.0
163,2009,8,Boston College,29,18,3,0.639,9,19,10.0,2.0,10.0,9.0,100.6,101.1,0.0,31.2,55.5,0.498,7.3,12.2,0.274,0.538,19.9,24.7,0.6,16.1,29.4,16.7,6.3,5.7,17.3,22.5,66.6,62.6,4.28,3.999999999999993,0.9653179190751444,0.8333333333333334,0.5263157894736842,0.3070175438596492,0.32142857142857145,1.2,12.0
29,2021,10,Boston College,34,20,2,0.281,13,8,13.0,1.0,7.0,7.0,108.0,95.6,0.0,24.7,65.2,0.402,5.6,19.2,0.294,0.478,13.5,23.6,0.64,13.7,34.2,16.7,11.3,1.4,18.9,13.8,69.0,74.7,7.57,-5.700000000000003,0.8835978835978836,0.9285714285714286,0.5,0.4285714285714286,0.6190476190476191,1.058282208588957,12.700000000000001
71,1998,2,Miami (FL),37,25,7,0.703,17,18,8.0,9.0,6.0,12.0,108.4,101.3,6.2,21.8,56.4,0.434,7.9,4.8,0.373,0.477,22.6,17.9,0.726,9.4,37.0,8.8,6.6,8.8,10.2,12.7,84.7,70.5,11.93,14.200000000000003,0.8627450980392158,0.47058823529411764,0.3333333333333333,0.13725490196078433,0.4857142857142857,1.5017730496453903,15.4
322,1994,1,Pitt,29,17,20,0.677,4,5,8.0,5.0,10.0,6.0,101.7,95.5,14.6,27.1,58.3,0.483,4.2,18.7,0.316,0.501,19.1,22.9,0.622,12.6,45.5,11.7,9.0,3.0,10.5,23.1,74.6,66.3,9.61,8.299999999999997,1.1142857142857143,0.6153846153846154,0.625,-0.009615384615384581,0.4444444444444444,1.2795883361921097,12.0
105,1999,4,Butler,40,27,5,0.625,2,11,9.0,10.0,2.0,1.0,108.6,95.9,8.0,24.5,49.0,0.4,4.3,26.2,0.315,0.467,11.5,20.2,0.739,11.4,36.3,9.5,7.7,5.8,17.3,14.7,73.3,74.1,7.47,-0.7999999999999972,0.5491329479768786,0.47368421052631576,0.6666666666666666,-0.19298245614035087,0.15384615384615385,1.4959183673469387,13.5
151,1997,1,Georgetown,33,8,15,0.719,3,12,8.0,7.0,4.0,8.0,104.2,100.3,2.9,21.9,59.1,0.434,6.6,14.7,0.412,0.51,10.6,16.7,0.703,10.6,34.8,16.4,8.8,2.3,15.3,16.4,80.0,78.4,6.24,1.5999999999999943,1.0718954248366013,0.5333333333333333,0.3333333333333333,0.2,0.2,1.353637901861252,11.100000000000001
13,1988,16,Villanova,30,36,21,0.618,11,11,11.0,8.0,8.0,2.0,120.6,100.8,5.0,32.4,58.3,0.496,5.7,18.0,0.387,0.498,18.6,27.4,0.734,12.1,43.8,20.5,9.0,7.6,11.1,22.9,71.5,68.4,20.89,3.0999999999999943,1.8468468468468469,0.5789473684210527,0.8,-0.2210526315789474,0.5,1.2264150943396226,16.6
118,2013,2,West Virginia,30,30,20,0.813,7,19,11.0,7.0,3.0,2.0,105.4,101.5,0.0,30.5,60.1,0.444,9.0,21.8,0.327,0.513,16.4,23.7,0.639,11.0,31.0,13.3,5.9,7.7,14.3,17.5,86.0,65.7,17.27,20.299999999999997,0.9300699300699301,0.6111111111111112,0.6,0.011111111111111183,0.2692307692307692,1.4309484193011648,13.600000000000001
475,2003,4,Seton Hall,33,26,15,0.6,15,11,12.0,0.0,10.0,12.0,103.8,97.8,4.5,26.4,53.4,0.437,8.4,6.5,0.402,0.521,16.0,25.7,0.746,13.5,33.0,17.1,10.4,3.9,11.7,15.4,71.0,71.5,14.04,-0.5,1.4615384615384617,1.0,0.45454545454545453,0.5454545454545454,0.5769230769230769,1.3295880149812735,14.3
299,1990,2,Seton Hall,40,21,18,0.595,6,10,17.0,6.0,0.0,11.0,111.5,95.5,14.0,27.1,58.0,0.543,4.8,25.1,0.404,0.435,12.0,16.1,0.662,13.0,37.2,11.5,5.3,7.8,18.2,22.9,69.0,59.0,8.44,10.0,0.6318681318681318,0.7391304347826086,0.0,0.7391304347826086,0.375,1.1896551724137931,13.1
402,1983,11,Xavier,40,34,19,0.632,6,12,2.0,11.0,6.0,12.0,92.7,96.3,0.0,25.9,53.7,0.532,9.7,23.4,0.296,0.53,15.2,17.0,0.622,15.8,43.4,12.0,5.6,6.6,12.5,18.1,64.0,70.6,13.59,-6.599999999999994,0.96,0.15384615384615385,0.3333333333333333,-0.17948717948717946,0.3333333333333333,1.1918063314711358,12.2
373,1998,6,Rutgers,23,18,6,0.69,17,12,14.0,8.0,8.0,7.0,104.5,97.2,5.5,21.5,55.7,0.48,4.0,10.2,0.314,0.543,14.3,22.6,0.65,12.2,33.0,18.4,12.3,1.6,12.9,15.8,69.9,78.6,7.1,-8.699999999999989,1.4263565891472867,0.6363636363636364,0.5333333333333333,0.10303030303030303,0.5862068965517241,1.2549371633752244,13.9
259,2002,3,Syracuse,41,30,2,0.263,0,8,7.0,1.0,6.0,9.0,99.0,105.9,5.2,28.4,61.3,0.448,6.5,13.4,0.388,0.518,13.7,23.6,0.688,12.5,40.4,19.1,5.8,5.2,15.2,21.3,70.6,74.2,14.08,-3.6000000000000085,1.2565789473684212,0.875,0.4,0.475,0.0,1.1517128874388254,11.0
485,2019,6,Louisville,29,34,6,0.742,17,8,11.0,11.0,4.0,8.0,110.5,97.8,5.6,31.3,57.2,0.454,9.4,22.0,0.387,0.543,14.2,19.7,0.695,10.1,37.0,12.2,5.1,2.1,12.2,21.5,72.3,75.3,6.62,-3.0,1.0,0.5,0.3333333333333333,0.16666666666666669,0.68,1.263986013986014,7.199999999999999
241,2002,3,Miami (FL),19,27,15,0.73,1,13,8.0,1.0,0.0,7.0,97.7,93.5,7.4,25.4,61.4,0.511,10.6,26.4,0.35,0.553,18.8,25.0,0.704,13.9,35.5,10.3,6.8,5.8,15.7,22.7,76.8,63.8,16.4,13.0,0.6560509554140128,0.8888888888888888,0.0,0.8888888888888888,0.07142857142857142,1.250814332247557,12.6
141,2014,4,Seton Hall,37,27,24,0.303,6,19,9.0,5.0,2.0,11.0,103.9,98.5,10.9,24.1,62.0,0.46,4.9,10.3,0.403,0.47,20.1,22.7,0.661,12.4,34.1,13.7,7.2,8.8,13.9,12.7,65.4,64.2,12.35,1.2000000000000028,0.9856115107913669,0.6428571428571429,0.15384615384615385,0.48901098901098905,0.24,1.0548387096774194,16.0
176,1980,12,Creighton,25,34,16,0.771,17,11,13.0,3.0,4.0,8.0,111.5,107.8,7.3,24.2,54.2,0.543,4.2,24.0,0.283,0.565,11.6,26.1,0.725,14.0,41.3,11.8,10.5,6.2,16.1,18.7,77.4,71.5,17.43,5.900000000000006,0.732919254658385,0.8125,0.3333333333333333,0.4791666666666667,0.6071428571428571,1.4280442804428044,16.7
321,2020,12,Louisville,40,28,12,0.483,6,5,14.0,8.0,10.0,10.0,102.9,100.2,14.0,22.1,51.1,0.516,4.7,7.4,0.303,0.499,11.7,16.3,0.653,14.9,33.8,10.9,10.5,1.4,17.6,21.6,72.3,70.0,11.69,2.299999999999997,0.6193181818181818,0.6363636363636364,0.5,0.13636363636363635,0.5454545454545454,1.4148727984344422,11.9
216,2016,9,Butler,37,36,12,0.583,14,7,5.0,6.0,7.0,8.0,100.8,109.9,10.5,31.0,55.1,0.487,2.8,20.0,0.271,0.572,10.3,18.5,0.763,16.2,33.5,12.0,11.6,6.3,14.9,19.9,79.6,64.7,7.82,14.899999999999991,0.8053691275167785,0.45454545454545453,0.4666666666666667,-0.012121212121212144,0.6666666666666666,1.4446460980036295,17.9
446,2008,16,Creighton,29,28,9,0.844,17,10,4.0,0.0,6.0,9.0,103.8,96.6,10.7,23.1,62.3,0.498,7.4,21.8,0.387,0.565,10.9,18.8,0.69,8.2,43.8,13.4,10.4,6.2,18.3,21.0,68.2,62.7,17.8,5.5,0.73224043715847,1.0,0.4,0.6,0.6296296296296297,1.0947030497592296,16.6
66,2017,5,Syracuse,31,8,17,0.763,10,9,11.0,3.0,0.0,12.0,91.5,104.8,2.7,30.3,62.9,0.542,3.2,21.3,0.395,0.471,18.7,21.3,0.68,14.7,32.4,16.7,9.5,6.0,10.5,13.6,65.3,67.3,0.0,-2.0,1.5904761904761904,0.7857142857142857,0.0,0.7857142857142857,0.5263157894736842,1.0381558028616853,15.5
478,1979,12,West Virginia,32,31,12,0.607,13,18,8.0,2.0,8.0,11.0,103.8,93.0,0.0,27.8,62.3,0.48,8.4,23.3,0.294,0.509,10.2,26.5,0.749,11.9,34.7,17.1,5.8,6.4,15.0,23.4,71.1,66.4,16.8,4.699999999999989,1.1400000000000001,0.8,0.42105263157894735,0.3789473684210527,0.41935483870967744,1.1412520064205458,12.2
142,2014,14,Cincinnati,28,25,10,0.818,14,1,4.0,5.0,8.0,6.0,101.8,92.3,9.5,29.4,59.6,0.411,3.4,18.5,0.304,0.516,12.4,17.2,0.724,17.6,34.7,18.4,10.3,9.1,17.5,16.9,72.0,69.4,6.05,2.5999999999999943,1.0514285714285714,0.4444444444444444,0.5714285714285714,-0.12698412698412698,0.9333333333333333,1.2080536912751678,19.4
474,2008,1,DePaul,33,31,24,0.771,15,19,16.0,10.0,5.0,6.0,109.3,90.4,0.0,31.7,57.4,0.468,6.8,19.3,0.359,0.559,13.7,23.0,0.757,13.8,32.8,16.7,9.2,3.7,11.9,21.0,65.5,69.5,16.94,-4.0,1.403361344537815,0.6153846153846154,0.45454545454545453,0.1608391608391609,0.4411764705882353,1.1411149825783973,12.899999999999999
316,2006,9,Creighton,37,8,19,0.813,3,11,10.0,1.0,0.0,9.0,109.4,97.3,7.0,31.0,54.6,0.539,9.9,10.1,0.346,0.471,16.9,17.3,0.6,13.7,41.7,14.7,10.8,5.7,16.9,15.4,76.8,69.5,11.24,7.299999999999997,0.8698224852071006,0.9090909090909091,0.0,0.9090909090909091,0.21428571428571427,1.4065934065934065,16.5
22,1995,12,Butler,33,26,7,0.9,1,6,17.0,10.0,0.0,3.0,98.9,98.3,0.0,22.8,58.3,0.446,6.0,18.1,0.329,0.517,11.5,24.2,0.781,7.5,32.7,11.7,6.1,7.8,11.7,16.0,65.4,78.7,3.65,-13.299999999999997,1.0,0.6296296296296297,0.0,0.6296296296296297,0.14285714285714285,1.1217838765008579,13.899999999999999
480,2004,1,Xavier,26,15,20,0.771,14,8,5.0,0.0,9.0,1.0,99.8,86.1,10.9,31.5,57.9,0.424,3.9,19.0,0.361,0.485,19.7,20.0,0.617,14.0,31.4,9.0,5.8,1.9,10.1,16.0,71.8,60.4,14.89,11.399999999999999,0.8910891089108911,1.0,0.9,0.09999999999999998,0.6363636363636364,1.2400690846286702,7.699999999999999
148,1992,14,Xavier,33,10,13,0.536,16,10,8.0,7.0,5.0,2.0,98.9,99.2,14.0,27.8,61.5,0.49,9.6,22.5,0.31,0.532,18.6,15.7,0.73,12.6,36.6,10.7,11.6,2.3,16.7,16.7,64.6,70.0,9.39,-5.400000000000006,0.6407185628742514,0.5333333333333333,0.7142857142857143,-0.18095238095238098,0.6153846153846154,1.0504065040650405,13.899999999999999
333,1981,10,Villanova,32,23,22,0.455,13,7,11.0,11.0,8.0,8.0,95.8,99.6,2.8,31.5,54.3,0.426,2.6,20.5,0.391,0.527,16.0,25.7,0.728,14.6,29.2,12.5,6.0,5.7,9.9,15.7,67.2,69.1,14.24,-1.8999999999999915,1.2626262626262625,0.5,0.5,0.0,0.65,1.2375690607734808,11.7
445,2016,10,Miami (FL),33,21,25,0.889,3,18,12.0,5.0,5.0,11.0,91.9,101.3,6.5,26.2,53.0,0.439,7.7,22.4,0.305,0.561,15.4,25.4,0.757,10.8,38.3,11.2,4.5,3.3,11.7,18.1,68.4,72.3,8.03,-3.8999999999999915,0.9572649572649573,0.7058823529411765,0.3125,0.3933823529411765,0.14285714285714285,1.2905660377358492,7.8
446,1982,7,Cincinnati,39,24,20,0.607,14,17,5.0,6.0,9.0,8.0,97.8,100.8,0.0,35.1,67.5,0.52,7.2,8.3,0.327,0.529,16.2,22.8,0.725,10.2,40.0,13.9,8.5,6.1,13.7,19.4,64.7,65.0,20.82,-0.29999999999999716,1.0145985401459854,0.45454545454545453,0.5294117647058824,-0.07486631016042783,0.45161290322580644,0.9585185185185185,14.6
363,2003,2,St. John's (NY),21,32,24,0.719,8,11,9.0,8.0,10.0,4.0,102.9,100.9,7.8,26.7,56.5,0.505,7.0,22.9,0.346,0.427,10.9,26.3,0.702,11.2,42.3,12.7,9.4,5.4,9.5,21.3,68.3,68.9,4.45,-0.6000000000000085,1.3368421052631578,0.5294117647058824,0.7142857142857143,-0.18487394957983194,0.42105263157894735,1.2088495575221239,14.8
58,1989,4,Virginia Tech,35,7,14,0.865,7,17,7.0,4.0,4.0,3.0,99.1,103.7,4.9,23.6,51.1,0.488,3.6,16.5,0.393,0.47,20.5,20.6,0.736,9.6,39.7,19.8,5.8,3.8,10.3,18.4,78.5,74.1,11.92,4.400000000000006,1.9223300970873787,0.6363636363636364,0.5714285714285714,0.06493506493506496,0.2916666666666667,1.5362035225048922,9.6
385,2019,11,Virginia Tech,19,21,12,0.333,2,4,7.0,10.0,7.0,4.0,97.2,103.7,0.0,22.5,53.7,0.525,6.6,23.1,0.383,0.473,10.8,18.4,0.663,12.4,31.8,16.2,5.9,2.3,11.3,18.9,79.9,76.5,12.01,3.4000000000000057,1.4336283185840706,0.4117647058823529,0.6363636363636364,-0.22459893048128343,0.3333333333333333,1.4878957169459963,8.2
471,1983,7,St. John's (NY),26,9,16,0.944,9,13,16.0,4.0,2.0,8.0,104.2,96.1,12.5,20.9,52.8,0.41,9.2,11.9,0.332,0.567,20.7,28.8,0.714,14.4,34.5,18.5,5.3,3.5,18.4,21.7,74.1,79.3,15.26,-5.200000000000003,1.0054347826086958,0.8,0.2,0.6000000000000001,0.4090909090909091,1.4034090909090908,8.8
351,1997,13,St. John's (NY),31,30,20,0.886,14,16,8.0,3.0,1.0,2.0,101.6,104.3,4.8,31.2,55.0,0.518,4.9,6.5,0.356,0.48,10.9,20.5,0.626,14.0,33.4,11.8,7.7,7.3,17.2,23.0,75.7,75.4,5.18,0.29999999999999716,0.6860465116279071,0.7272727272727273,0.3333333333333333,0.393939393939394,0.4666666666666667,1.3763636363636365,15.0
491,2015,12,Cincinnati,32,20,24,0.875,2,5,4.0,8.0,2.0,9.0,105.9,108.9,9.4,25.3,53.8,0.503,8.0,18.8,0.321,0.449,19.4,18.9,0.666,7.8,30.6,17.1,5.7,3.2,17.5,17.6,70.4,73.1,4.51,-2.6999999999999886,0.9771428571428572,0.3333333333333333,0.18181818181818182,0.1515151515151515,0.2857142857142857,1.3085501858736062,8.9
132,1994,9,Cincinnati,25,27,12,0.652,3,16,18.0,7.0,2.0,6.0,113.2,94.2,3.3,23.5,52.7,0.516,6.4,23.3,0.311,0.462,16.8,17.5,0.748,14.5,29.2,12.8,8.2,5.3,10.1,22.0,65.4,74.2,6.62,-8.799999999999997,1.2673267326732673,0.72,0.25,0.47,0.15789473684210525,1.2409867172675522,13.5
346,2020,11,Villanova,35,21,10,0.914,12,13,8.0,7.0,2.0,2.0,98.7,92.4,22.6,26.1,62.3,0.542,9.9,10.5,0.315,0.52,17.5,13.3,0.624,15.2,36.7,18.4,11.2,3.5,20.9,20.4,78.9,64.9,13.61,14.0,0.8803827751196173,0.5333333333333333,0.5,0.033333333333333326,0.48,1.2664526484751206,14.7
177,1982,16,Louisville,19,35,25,0.867,1,9,19.0,8.0,8.0,11.0,120.6,95.2,0.0,23.5,52.0,0.508,9.0,15.4,0.392,0.488,14.1,24.2,0.763,11.1,44.1,16.1,13.1,4.0,18.1,22.7,74.1,61.3,16.72,12.799999999999997,0.8895027624309393,0.7037037037037037,0.42105263157894735,0.2826510721247564,0.1,1.4249999999999998,17.1
392,1985,2,Pitt,37,9,7,0.207,10,8,19.0,3.0,4.0,11.0,103.9,102.2,0.0,29.3,64.5,0.432,3.0,16.1,0.332,0.514,14.2,21.4,0.737,10.6,34.6,11.5,8.6,2.6,14.6,15.1,65.4,77.0,11.84,-11.599999999999994,0.7876712328767124,0.8636363636363636,0.26666666666666666,0.5969696969696969,0.5555555555555556,1.013953488372093,11.2
9,2006,10,Cincinnati,39,25,6,0.688,10,13,12.0,11.0,3.0,3.0,104.9,99.3,5.6,31.5,65.9,0.453,8.6,13.9,0.335,0.529,14.3,27.3,0.656,17.3,29.2,13.3,7.5,4.9,18.3,21.3,74.8,70.6,20.67,4.200000000000003,0.726775956284153,0.5217391304347826,0.5,0.021739130434782594,0.43478260869565216,1.1350531107738997,12.4
165,2017,7,Butler,31,26,3,0.8,11,5,13.0,8.0,6.0,9.0,92.7,102.0,12.8,26.3,64.1,0.449,10.6,22.9,0.314,0.502,11.8,21.5,0.668,8.9,37.7,16.6,6.7,4.9,15.9,23.6,62.2,72.4,0.0,-10.200000000000003,1.0440251572327044,0.6190476190476191,0.4,0.21904761904761905,0.6875,0.9703588143525742,11.600000000000001
105,2008,4,Boston College,19,27,25,0.743,6,4,18.0,3.0,10.0,2.0,107.9,110.3,5.5,27.5,53.2,0.463,10.2,14.8,0.302,0.54,18.2,16.0,0.706,11.6,32.1,18.1,8.5,8.8,15.5,15.5,74.3,78.7,6.78,-4.400000000000006,1.167741935483871,0.8571428571428571,0.8333333333333334,0.023809523809523725,0.6,1.3966165413533833,17.3
486,2006,2,South Florida,27,27,25,0.564,0,14,11.0,3.0,8.0,6.0,105.6,92.6,0.0,28.9,56.7,0.493,3.9,25.0,0.357,0.526,11.3,21.2,0.754,12.2,32.8,16.1,9.3,6.1,14.3,14.9,59.3,62.5,2.3,-3.200000000000003,1.1258741258741258,0.7857142857142857,0.5714285714285714,0.2142857142857143,0.0,1.0458553791887124,15.4
304,1981,5,Creighton,25,35,2,0.375,16,17,17.0,3.0,5.0,10.0,108.5,96.3,2.0,26.4,67.9,0.407,5.3,15.2,0.384,0.506,13.5,18.5,0.598,10.1,34.3,17.4,7.1,7.1,16.8,22.3,70.8,63.6,0.0,7.199999999999996,1.0357142857142856,0.85,0.3333333333333333,0.5166666666666666,0.48484848484848486,1.0427098674521353,14.2
285,2006,15,Marquette,40,36,3,0.563,0,3,12.0,1.0,9.0,4.0,105.9,97.7,1.0,21.4,52.9,0.473,9.4,18.4,0.329,0.456,11.8,26.0,0.671,10.2,33.2,18.8,10.4,2.9,9.9,18.7,71.1,67.7,9.72,3.3999999999999915,1.898989898989899,0.9230769230769231,0.6923076923076923,0.23076923076923084,0.0,1.3440453686200378,13.3
29,1981,8,Syracuse,30,34,21,0.444,2,7,5.0,6.0,10.0,3.0,108.8,108.4,6.6,35.1,62.1,0.483,8.0,11.9,0.344,0.532,14.9,20.4,0.669,9.3,36.8,12.0,4.9,4.6,14.5,25.7,70.9,75.3,15.03,-4.3999999999999915,0.8275862068965517,0.45454545454545453,0.7692307692307693,-0.31468531468531474,0.2222222222222222,1.14170692431562,9.5
261,1996,15,Creighton,37,20,16,0.853,4,9,12.0,3.0,1.0,12.0,112.2,91.6,7.6,26.9,56.1,0.539,6.6,20.5,0.36,0.455,20.7,22.2,0.743,14.3,36.7,11.0,4.6,6.9,10.6,20.3,67.7,63.1,8.51,4.600000000000001,1.0377358490566038,0.8,0.07692307692307693,0.7230769230769232,0.3076923076923077,1.2067736185383244,11.5
414,2008,3,Xavier,35,13,20,0.781,8,4,8.0,7.0,6.0,10.0,102.7,92.3,4.4,29.4,60.6,0.484,8.5,20.9,0.294,0.5,11.5,25.5,0.636,14.0,34.8,11.4,8.9,6.4,11.5,21.0,61.9,71.3,3.41,-9.399999999999999,0.991304347826087,0.5333333333333333,0.375,0.15833333333333333,0.6666666666666666,1.0214521452145213,15.3
469,1983,10,Seton Hall,32,33,17,0.448,15,2,19.0,7.0,10.0,10.0,109.3,97.1,4.8,24.7,59.8,0.499,5.4,9.3,0.357,0.448,14.5,17.3,0.674,12.4,29.8,10.3,8.3,6.5,15.2,22.2,71.0,67.2,18.57,3.799999999999997,0.6776315789473685,0.7307692307692307,0.5,0.23076923076923073,0.8823529411764706,1.1872909698996656,14.8
123,2005,13,Rutgers,37,28,24,0.517,16,9,16.0,8.0,10.0,3.0,107.9,101.9,5.2,24.5,56.5,0.414,4.7,19.9,0.368,0.479,13.0,25.8,0.781,16.8,40.9,18.6,10.6,4.8,19.7,19.0,80.2,56.6,18.3,23.6,0.9441624365482234,0.6666666666666666,0.7692307692307693,-0.10256410256410264,0.64,1.4194690265486727,15.399999999999999
99,1980,2,Marquette,30,17,24,0.688,9,4,9.0,9.0,10.0,8.0,97.2,98.2,0.0,31.2,50.4,0.447,7.8,11.9,0.361,0.496,12.0,19.0,0.635,8.2,39.3,14.6,4.8,6.6,9.1,16.8,68.3,77.6,15.54,-9.299999999999997,1.6043956043956045,0.5,0.5555555555555556,-0.05555555555555558,0.6923076923076923,1.3551587301587302,11.399999999999999
371,2003,3,Rutgers,39,16,8,0.781,3,8,19.0,2.0,6.0,8.0,111.0,100.5,10.7,23.4,63.3,0.402,4.0,13.9,0.37,0.464,16.7,19.0,0.747,8.7,38.3,18.6,7.8,3.6,13.1,21.4,67.8,65.0,11.33,2.799999999999997,1.419847328244275,0.9047619047619048,0.42857142857142855,0.4761904761904762,0.2727272727272727,1.0710900473933649,11.4
230,1993,7,St. John's (NY),38,16,18,0.263,6,9,2.0,5.0,6.0,7.0,104.0,106.5,9.4,21.9,54.6,0.516,8.7,19.4,0.355,0.528,20.1,25.8,0.617,13.9,31.9,14.9,10.1,3.2,11.6,19.1,78.3,62.1,9.41,16.199999999999996,1.2844827586206897,0.2857142857142857,0.46153846153846156,-0.17582417582417587,0.4,1.434065934065934,13.3
79,2008,5,Louisville,33,21,6,0.429,9,17,4.0,1.0,1.0,12.0,100.2,96.3,8.7,27.2,50.6,0.457,6.4,16.4,0.33,0.487,12.2,22.2,0.612,8.3,44.7,11.0,7.0,3.0,15.3,14.3,86.0,69.2,22.63,16.799999999999997,0.7189542483660131,0.8,0.07692307692307693,0.7230769230769232,0.34615384615384615,1.699604743083004,10.0
422,2011,5,Georgetown,29,14,7,0.226,1,12,2.0,10.0,0.0,9.0,91.9,99.8,19.2,23.5,50.2,0.48,7.0,19.9,0.349,0.521,15.5,14.8,0.782,10.1,29.9,17.0,6.6,5.0,12.7,19.5,66.9,61.0,7.63,5.900000000000006,1.3385826771653544,0.16666666666666666,0.0,0.16666666666666666,0.07692307692307693,1.3326693227091635,11.6
430,1990,14,Georgetown,23,22,16,0.789,16,11,4.0,1.0,3.0,7.0,104.6,89.4,4.5,23.5,53.9,0.424,5.3,15.9,0.373,0.526,20.3,26.3,0.705,13.0,39.7,15.0,4.0,3.5,16.7,21.2,74.6,61.3,5.38,13.299999999999997,0.8982035928143713,0.8,0.3,0.5,0.5925925925925926,1.3840445269016697,7.5
364,1984,12,Butler,34,24,22,0.919,8,13,10.0,10.0,7.0,4.0,110.4,105.2,15.1,30.2,65.5,0.404,2.7,22.3,0.383,0.498,19.2,19.5,0.775,8.3,34.3,13.3,10.4,6.9,13.1,19.7,69.6,68.8,16.37,0.7999999999999972,1.015267175572519,0.5,0.6363636363636364,-0.13636363636363635,0.38095238095238093,1.0625954198473282,17.3
153,2009,9,Seton Hall,35,17,6,0.697,3,19,14.0,4.0,7.0,4.0,112.9,89.0,0.0,22.9,51.8,0.432,3.5,20.2,0.319,0.447,17.3,25.7,0.653,14.0,36.5,11.6,10.7,6.6,10.6,19.4,63.1,66.0,16.8,-2.8999999999999986,1.0943396226415094,0.7777777777777778,0.6363636363636364,0.14141414141414144,0.13636363636363635,1.2181467181467183,17.299999999999997
